sentence-index,sentence,text-index
35,The efforts of priests and missionaries to eradicate the Indians' ancestral beliefs produced profound emotional disturbances great changes in their conception of the world.,1
36,"To enforce conformity to the new orthodoxy, the Spaniards instituted ecclesiastical , or inspections intended to extirpate the idolatory that persisted long after the conquest.",1
37,"In the sphere of art the range of subjects and genres permitted by the church was extremely narrow, only in fact religious paintings and portraits.",1
38,At that time after the conquest there was effectively no ‘thought’(recorded discourse) outside the religious framework and institutions.,1
39,"The first university in Peru, , was founded by the Dominicans.",1
40,"Painting was from the beginning one of the most important instruments of conquest in the sphere of thinking, the mind.",1
41,In the earliest years of their missionary efforts Dr Tord writes:,1
42,the friars discovered that the Indians were deeply impressed by sacred images created with the newest artistic techniques brought from the Old World…,1
43,"Those images were first seen in the catechisms, Bibles, books of hours, and hymnals used to convert the Indians and direct their worship.",1
44,"‘The Archangel Raphael’, by a follower of Luis de Riano, Cuzco School c. 1640.",1
45,"Oil on canvas, 65″ x 42″.",1
46,"Convento de San Francisco, La Paz.",1
47,"The Jesuits brought over their leading painter in Europe in the late sixteenth century, the Italian Bernardo Bitti, to live and work in Cuzco.",1
48,A school of painting grew up in Cuzco which became the leading centre of the production of paintings south of Mexico and exported paintings and painters to many other parts of the continent including remote areas.,1
49,"Leopoldo Castedo, the Spanish-Chilean art historian writes:",1
50,"Of forty-seven painters documented in Cuzco during the period, thirty-five were Indians, seven criollos or mestizos, four Spaniards, and one Italian.",1
51,This list does not include the great number of Indians who remained anonymous….,1
52,"The similes usually used to describe the hybrid produced over the years by the Cuzco painters — the ‘melding’, or ‘blending’, or the ‘intricate amalgamation’ of European and indigenous traditions to produce an art of ‘Byzantine richness and splendour’— obviously belies the violence of events.",1
53,"These phrases do, however, have the ring of truth in an aesthetic sense — or rather there was an aesthetic process involved which had to some extent its own story.",1
54,"This was manifested not only in the precise, artistic and critical response by Indian peoples to European paintings, but also in connoisseurship within the colonising ranks.",1
55,"A blossoming of the arts followed the rebuilding of Cuzco after the catastrophic earthquake of 1650, partly the arrival of Bishop Manuel de Mollinedo y Angulo.",1
56,"His collection included two El Grecos, and other outstanding Spanish pictures, and he sponsored Indian painters like Diego Quispe Tito, sculptors, architects and jewellers.",1
57,"Sometimes the coercion and oppression felt directly in the paintings: , in images of Saint Isidore, a rather obscure Spanish saint vastly amplified in the New World as the patron of labourers, who is shown to carry a small bag of coca leaves as the Indian peasants and miners did, and do, to chew to combat hunger and fatigue.",1
58,Castedo points this out.,1
59,He also shows that images of were often changed to .,1
60,"Indian painters would in this case be painting an image showing the Church's and the State's warning to Indians who contemplated rebellion, as many did.",1
61,"And occasionally, as, , during or around the time of the rebellion led by Tupac Amaru II in 1780, an image would appear of explicit resistance to colonialism.",1
62,"In the somewhat unlikely context of the Pelican History of Art (the relevant volume is ), an anonymous painting is described which shows America:",1
63,nursing Spanish noble boys.,1
64,"Negroes and mestizos are pressing around her throne, while nude Indian children weep abandoned.",1
65,Two richly dressed Indian couples present their gifts in a beautiful park crowded with different animals.,1
66,The legend says: Where in the world has one seen what one sees here…,1
67,Her own sons lie groaning and she suckles strangers.,1
68,"The images of angels are much more ambiguous and capable of different interpretations (this could, , be said of the angel theme generally as it recurs in the history of art, and in various guises across different cultures).",1
69,It is not hard to find documentary evidence for the Church's deliberate use of the angel theme as an instrument of conversion.,1
70,"The Bolivian art historian Teresa Gisbert writes that the Councils of Lima, which were responsible for questions of orthodoxy in the Viceroyalty: ‘sought to attract Indians to the new faith by the use of images which would be especially appealing to them.'",1
71,Why were angels appealing to them?,1
72,"In the Pelican History, Martin Soria tentatively puts forward the theory that angels were popular because ‘they replaced similar messengers in pre-conquest beliefs’.",1
73,Teresa Gisbert produces evidence to show that Diego Quispe Tito's series of paintings of the zodiac for the Cathedral of Cuzco was commissioned to counteract the traditional indigenous worship of the stars and were intended to aid in Christianising the Indians of the Andes.,1
74,"And she suggests that the angels, especially the series of angels, could have a similar purpose, to ‘replace worship of celestial phenomena with the theologically acceptable cult of the angels’.",1
75,"So apparently they were ‘popular’, for different reasons, with both Christian and native American, with oppressor and oppressed.",1
76,"It is you could read in them simultaneously transcriptions of inducement, threat, coercion, protection, solace, yearning and resistance.",1
77,Does this explain their complex expressivity?,1
78,"For the same quality can be interpreted differently one's point of view, one's experience, and one's feelings.",1
79,"can mean Defence of the Faith, i.e. of Christianity, or it can mean the adoption and identification of a ‘guardian spirit’, who will watch over your life-journey, a universal, but at the same time very individual and personal desire, expressed in most religions and cultures.",1
80,"Looking at the angel's image you can dream, ask for what you want.",1
81,"The angel, with its brilliantly opulent but light clothing, its mobility, its freedom from hierarchical placing in the pictorial composition, and its bisexuality, is an intimate image of enablement.",1
82,"Among the images of angels is a genre apparently unique to South America, even to the Andes, the Angels with Guns.",1
83,"This was also a very popular subject (one church inventory for 1748, , lists 36 pictures of armed angels).",1
84,"Julia P. Herzberg, who calls these pictures ‘representations of winged  beings military, aristocratic and religious, gives this explanation of their ",1
85,Paintings of angels with guns appeared at a time when the religious orders were confronted with the stubborn persistence of pre-conquest religion amongst their Indian charges.,1
86,"Immense problems remained not merely in the campaign to destroy Indian idols, but in teaching and reinforcing the principles of the new faith.",1
87,"Sermons and catechisms were the primary means of conversion, but images of angels with guns were useful symbols of important teachings of the church.",1
88,The Spaniards conquered the Incas with both the Cross and the arquebus.,1
89,The key to understanding the religious function of these images is found in the gun motif.,1
90,"Firearms, unknown to the Indians at the time of the conquest, seemed a frightening manifestation of the supernatural, for they ‘fled fear when there was a blare of trumpets, the roar of arquebuses and artillery’.",1
91,The firearm in an angel's hands must have had a powerful impact on Indian converts.,1
92,"But since guns were also used defensively, the images functioned symbolically as reminders of the protection offered to those who embraced Christianity.",1
93,The image of the angel with a gun served a secular a religious function by emphasising the lesson that the Church and the Spanish colonial régime were united in their goal to christianize the Indians.,1
94,The military aspect of the crusade is subliminally suggested by the gentle figure who handles his firing weapon in varied positions which recall those of a fighting force.,1
95,"In speaking about the angels' clothing, Herzberg continues:",1
96,Far more important than the military aspects of the angel's costumes are the explicit references to the high social status of both Spanish colonial gentlemen and Inca royalty.,1
97,"Richly brocaded fabrics, ribbons, and lace characterize the opulent viceregal dress of the 17th century.",1
98,"The gentlemen-aristocratic nature of angels with guns is defined by their elegant dress, which relates them directly to the ruling viceregal aristocracy.",1
99,A key phrase here seems to me to be ‘gentle figure who handles his firing weapon’.,1
100,"Although the technical military details of loading and handling the gun , of the angel paintings, is very precise — taken in fact from a Flemish military manual of 1607 — the ‘common soldier’ of the image in the manual is not retained: he becomes the gorgeous aristocrat.",1
101,"The non-aggressive angel-like  pose, is extremely seductive, which makes the threat of force oblique, only implied, a beautiful face was being laid over the ugly face of violent coercion.",1
102,"Are these pictures simply transcriptions of power, in which the hard approach is mixed with the soft, and the Church is allied with the State (and in this case hinting , not just at the foreigner's domination of the native inhabitants but also at class conflict within colonial society, since the angel is a mélange of Spanish and Inca aristocracies)?",1
103,Perhaps.,1
104,"But again they seem to me more enigmatic, more multiple — images full of aesthetic tensions.",1
105,"Can one again make a conflation between domination and rebellion in the image, an expression of both the Church/State and the Indian wishes?",1
106,Leopoldo Castedo writes:,1
107,The prestige of the armed archangel was and is still very great.,1
108,"In mestizo architectural decoration of the 18th century, the archangel brandishing the flaming sword had a prominent place (particularly fine examples are in the Cathedral of Puno and San Lorenzo, in Potosi); and in the traditional (Bolivian devil play), a religious drama, the Archangel Michael defeats […]the Devil of the Seven Masks.",1
109,"In 1950, in a curious or consistent coincidence ($, Pope Pius XII declared the Archangel Michael patron of police — a decision that may well diminish the archangel's prestige in Latin America.",1
110,"‘Archangel with Gun’, by an anonymous painter of the Cuzco School, early 18th century.",1
111,"Oil on canvas, 63 1/4″ x 39 1/2″.",1
112,"Museo de Arte, Lima.",1
113,"‘Archangel with Gun’, by the Master of Calamarca (José Lopez du los Rios?)",1
114,"Lake Titicaca School, c. 1684.",1
115,"Oil on canvas, 63 5/8″ x 46 1/2″.",1
116,"Museo Nacional de Arte, La Paz.",1
117,"dealing, as I have been doing, with one of the major subjects and themes of Cuzco painting, an inventory could be made of ways in which painters departed from European models, or from academic notions of excellence.",1
118,"There are peripheral insertions, like borders of flowers, or tropical birds which populate the background landscapes of many religious paintings.",1
119,"Or survivals at the level of colour: liking for flat and intense colours, local earth and vegetable dyes, which may go all the way back to the ancient textile traditions that of the Paracas culture in Peru.",1
120,"Also, intensification of the colours in the angels' wings as compared with Europe.",1
121,These questions were not merely ‘academic’.,1
122,"Disputes among Spanish and Indian painters themselves, in some ways antecedents of all subsequent debates around ‘indigenism’, go back to the early days in Cuzco.",1
123,In 1688 the Cuzco guild of painters split.,1
124,The immediate reason seems to have been that Indian painters working for some of the Spanish and criollo masters complained of mistreatment.,1
125,The Spanish admitted their guilt but no agreement could be reached and the two sides moved apart.,1
126,The Spanish guild tightened its European rules of style.,1
127,"The Indian painters lost contact with European developments and, Teresa Gisbert, ‘sought inspiration both in the old styles and in their own tastes and traditions’, a mixture of ornamental stylisation with observation of the reality around them.",1
128,"Their religious pictures, she writes, ‘belong to an archaic world […$ who viewed the religious realm as something ‘different’ from mundane reality.'",1
129,"The argument so far has been intended to put forward the possibility that an art work or image could be official and coercive, and unofficial and subversive, all at the same time.",1
130,The example I have given is the only one that exists.,1
131,"The  same process has been documented in other situations where a people have been conquered, colonised and their cultural beliefs assaulted.",1
132,Eduardo Mondlane found that African carvers in nineteenth-century and early twentieth-century Mozambique had made their own use of Christian themes imposed by priests and missionaries:,1
133,"When a [makonde]sculptor departs from the stereotype […$ this is nearly always because an element of doubt or defiance has been worked into it; a madonna is given a demon to hold the Christ Child; a priest is represented with the feet of a wild animal, a pietà becomes a study not of sorrow but of revenge, with the mother raising a spear over the body of her dead son.",1
134,"Magazine advertisement, featuring a painting by Botero.",1
135,Such images may startlingly demonstrate the general truth that the meaning of a work cannot simply be equated with its subject.,1
136,"But particularly intriguing is the phenomenon of syncretisation itself, as an process, and its relationship to meaning: the process whereby something new is created that cannot simply be reduced to either side of two antagonistic forces, or returned to a former ‘purity’.",1
137,A new ‘in-between’ is created.,1
138,This is especially true in the context of Latin America where this kind of duality and fusion has been a feature of culture from the time of the conquest right today — both on the popular and the intellectual level.,1
139,"‘Latin America is such a syncretic, eccentric, disjointed fusion of European, Amerindian and Afro-Caribbean culture,’ in the words of the Mexican artist Guillermo Gomez-Peña.",1
140,"Or, as the Chilean painter Juan Davila recently put it: ‘You take something of yourself, something of the conqueror’.",1
141,In both cases these are intellectuals talking about their own work by linking it with a process continually taking place at a popular level and in everyday life.,1
142,"Today, the image of the angel is still alive, and still in contention; it has been merely consigned to the museum.",1
143,It is still a part of contemporary power struggles.,1
144,On the one hand it has appeared as a focus for resistance.,1
145,"The militant angel appeared, , in wall paintings in Haiti during the shortlived popular uprising for food and democracy of 1986.",1
146,"The extraordinarily effective popular figure of the masked Superbarrio, who emerged spontaneously to lead the movement to demand the provision of proper housing in the aftermath of the disastrous Mexican earthquake of 1986, surely appeals to memories of the angel-enabler, references to Mexican popular masked wrestling heroes and perhaps to Superman.",1
147,"At the same time, the armed angel is continually reproduced as a figure of folklore, a naive stereotype of Latin America, typically exploited in the paintings of Fernando Botero, the highest selling Latin American artist in the world today.",1
148,"His shallow humour trades in, but misses the actual drama and sensibility of that hybrid fusion of the aristocratic and the popular which took place all those years ago in Cuzco.",1
149,"Symbolic angel lances a Tonton Macoute on a mural in Port-au-Prince, Haiti, 1989.",1
150,Photo by Pablo Butcher.,1
151,An Inca Warrior in the guise of the Archangel Michael with a flaming sword.,1
152,"Stone carving in a church at Potosi, Bolivia, 18th century.",1
153,"‘Popular culture is not what is technically called folklore, but the popular language of permanent historical rebellion.’",1
154,"This sentence, by the Brazilian film-maker Glauber Rocha, written at the turn of the 1970s, clearly identifies a form of expression with a mass of oppressed people whose experience has been continuous over four centuries.",1
155,And Glauber also implies that the forms and images in which this experience is expressed are not fixed but open and changing.,1
156,"The sentence comes from an essay called , an eccentric spelling of (‘Aesthetic of the Dream') in which, building on the idea that ‘the dream is the only right which cannot be forbidden’, Glauber Rocha described how he had come to realise the revolutionary importance of the mystical in Latin American popular culture.",1
157,"It was the only way of contesting that ‘bourgeois reason’ which, for him, was as much a feature of left-wing political programmes as it was of traditional colonial domination.",1
158,"In his 1965 article, ‘Aesthetic of Hunger’, enormously influential on Third World cinema and art, Glauber felt he had given ‘the measure of my rational understanding of poverty’.",1
159,"By 1971 he was saying that, as artists:",1
160,"We must touch, by communion, the vital point of poverty which is its mysticism.",1
161,This mysticism is the only language which transcends the rational schema of oppression.,1
162,"The role of the angel as an intermediary between the human and the mystical world, and its elaborate beautifying as a vehicle of the dream, would seem to tie in closely with Glauber's identification of a continuing thread of psychological resistance in Latin American culture.",1
163,.,1
164,‘HER DRESS HANGS HERE': DE-FROCKING THE KAHLO CULT,1
165,Oriana Baddeley,1
166,The 1990s have witnessed a shift in the art establishment's attitudes towards art produced its traditional parameters.,1
167,The work of previously marginalised artists has become an area of rich speculation among art dealers priced the ‘modern masters’ market.,1
168,"Almost every year has witnessed the discovery of new artistic terrain — graffiti art, Soviet art, Australian art, the art of Latin America.",1
169,The major auction houses have moved with the times and have found new ways of selling works which in both form and content would have proved an unstable investment a decade ago.,1
170,The current status of the work of the Mexican painter Frida Kahlo is a dramatic example of this change.,1
171,"Once known primarily as the wife of Diego Rivera, her reputation Mexico now far supercedes his: since 1919, sale room estimates of her work have risen from $40,000 to over $1 million, and in 1990 a work by Kahlo broke all records at Sotheby's New York for a Latin American artist.",1
172,The enormous rise in the economic value of her work has developed in tandem with the increased critical and popular response to her particular blend of naive style and incisive content.,1
173,"While the first wave of popular interest arose with the 1982 Whitechapel exhibition instigated by Laura Mulvey and Peter Wollen, it was the publication of Hayden Herrera's biography of Kahlo in 1983 which has led to her current cult status.",1
174,"Since that date she has been the subject of TV documentaries, a feature film (‘Frida’ by Paul Leduc), a stage play, numerous publications and the inspiration for designer clothing.",1
175,"In May 1989 magazine ran a 16 page feature on Frida Kahlo as the ‘spirit of Mexico’(Fig. 1), while in (Feb. 1990) there was a 10 page interpretation of ‘the romance of Frida Kahlo's Mexico’(Fig. 2).",1
176,"Almost as a logical outcome of this media blitz, it emerged in the summer of 1990 that Madonna, already a devotee of Kahlo's work, was commissioning a screenplay based on Kahlo's life.",1
177,"Almost as a logical outcome of this media blitz, it emerged in the summer of 1990 that Madonna, already a devotee of Kahlo's work, was commissioning a screenplay based on Kahlo's life.",1
178,", May 1989, p. 18–19.",1
179,"As with most artists who have become mythical personalities in the popular imagination, such attention has focused primarily on the anecdotal and tragic details of Kahlo's admittedly fascinating life.",1
180,"The passionate obsession with her husband Diego Rivera, her flamboyant appearance, but most of all her physical and emotional pain have come to dominate responses to her work.",1
181,"While Kahlo's art helped her to deal with the vicissitudes of her life, for most audiences it is her life story which allows access to her art.",1
182,"In this one can draw obvious parallels to the appeal of Van Gogh, a traditionally popular artist recently made fashionable by the media attention generated during the centennial of his death.",1
183,The archetypal dropout/spiritualist became an appropriate icon for the sixties revival of 1990's long hot summer.,1
184,"Yet despite the iconic status of Van Gogh's ‘tragic’ life, it is the appearance of his work by which he is ultimately signified, his thick impasto brush-stroke, his vibrant yellows, the urgency of his creative drive.",1
185,"In the case of Kahlo the popular image is of the artist herself, the characteristic brows, the elaborate hair, the Mexican costume (Fig. 3).",1
186,"It is primarily her appearance, not the formal language of her art, that has graced the pages of and magazines.",1
187,The feature transposed the ‘Kahlo style’ to Kahlo lookalikes in contemporary clothing balanced around segments of Herrera's biography of  the artist.,1
188,"In the later piece only the style remained as the far more overtly sexual, Kahloesque models lounged and pouted in their ‘Mexican’ interiors.",1
189,"There is a poignant irony in the way clothing, which on one level served to hide Kahlo's broken body, falls or is lifted by the model to reveal a luxuriantly perfect physique (Fig. 4).",1
190,The visual references in the two magazines are as much from photos of the artist her work.,1
191,"In both features she is also seen to embody a wider set of assumptions about Mexico itself; exotic, passionate, yet constantly struggling against pain and deceit.",1
192,"While and subsequently (Fig. 5), stressed different facets of Kahlo's public persona, they all shared the emphasis on ‘her’, as an encapsulisation of stereotypical images of Mexico, her work.",1
193,"It is her body as the canvas, her appearance as art.",1
194,The art of self-expression becomes self-expression as art.,1
195,The art of self-expression becomes self-expression as art.,1
196,", February 1990, p. 130–1.",1
197,", February 1990, p. 130–1.",1
198,", May 1989, p. 28.",1
199,", the line between art and life is a particularly hard one to draw in Kahlo's case.",1
200,The majority of her work is self portraiture; her aesthetic concerns grew from her fascination with the falsity of appearance.,1
201,"Dressing up, role playing and masquerade form the conceptual basis of Kahlo's work.",1
202,"In (1944)(Fig. 6), she paints herself wearing Rivera's suit, challenging traditional expectations of femininity and attempting to appropriate his authority (while simultaneously) threatening castration).",1
203,"More disturbingly, in (1945)(Fig. 7), she throws doubt on too straightforward a reading of her self-portraits as revealing of her inner emotions.",1
204,Where does the mask fall: Does not the ritual repetition of those familiar features ‘mask’ far more than it uncovers?,1
205,"There is, however, an inevitable logic to the appropriation of her meticulously constructed image, a process which the artist was mocking as early as 1933: ‘…some of the gringa women are imitating me and trying to dress ‘Mexicana’, but the poor souls only look like cabbages and to tell you the naked truth they look absolutely impossible.'",1
206,"The ‘impossibility’ stemmed from the failure of such followers to recognise the symbolic importance of Kahlo's choice of clothing, a failure also intrinsic to her recent magazine appearances.",1
207,"The particularities of post-revolutionary Mexico are frequently subsumed by the decorativeness of the ethnic, by the generalised attractiveness of the radical avant-garde.",1
208,"For Kahlo, however, choosing to don the costume of the Tehuana, example in (1946)(Fig. 8), was to embody a powerful icon of cultural identity.",1
209,"Mexican Indian dress is extraordinarily diverse and geographically specific, varying from region to  region.",1
210,The Tehuana dress is the most decorative variant or the closest to pre-Hispanic forms of clothing.,1
211,It is the mythology surrounding the women wearers of the costume which directed Kahlo's choice.,1
212,"The ostensibly matriarchal society of Tehuantepec led to the adoption of the Tehuana, in post-revolutionary Mexico, as the image of the strong Indian woman; the undefeated counterpart to the despised ‘Chingada’, who, conversely is the female embodiment of Mexico's hybrid post-conquest culture.",1
213,"In a culture where sexual metaphors are frequently used to convey racial and political conflict, the Tehuana represents that aspect of Mexico's indigenous tradition unbowed by centuries of colonial and male rule.",1
214,"Kahlo's adoption of Tehuana dress, while being an attractive disguise of what she saw as a less than perfect body, asserted both a feminist and an anti-colonialist position.",1
215,"Kahlo's adoption of Tehuana dress, while being an attractive disguise of what she saw as a less than perfect body, asserted both a feminist and an anti-colonialist position.",1
216,", February 1990, p. 138.",1
217,", February 1990, p. 138.",1
218,", 8th April 1990, p. 37.",1
219,"In Kahlo's work there is a powerful mix of these discourses, yet her role as an archetypal woman painter has come to dominate responses to her work.",1
220,It is through her emergence as a cult painter of the feminist movement of the 1970s that her current reputation has evolved.,1
221,Her work almost perfectly illustrates debates the nature of traditional exclusions of a woman's art.,1
222,"The fascination with functions of the body, the analogies between artistic  and physical creative processes, self-portraiture used to reveal the female body as the site of patriarchal aesthetic discourse; all of these mirror the concerns of many women painters of the 1980s.",1
223,.,1
224,"Frida Kahlo:, 1940, 40x27.9 cm.",1
225,"Museum of Modern Art, New York.",1
226,"Museum of Modern Art, New York.",1
227,", 1945, 40x30.5 cm.",1
228,Coll.,1
229,Dolores Olmeda.,1
230,.,1
231,"Frida Kahlo:, 1946, 55.9x40.6 cm.",1
232,Coll.,1
233,Isidore Ducasse Fine Arts Inc.,1
234,"In their formal language, Kahlo's works are exemplary of certain feminist arguments; the adoption of the decorative, the intimate and non-fine art mediums reveals the restrictive nature of traditional definitions of ‘high art’.",1
235,"This ‘appropriateness’ of Kahlo's aesthetic to contemporary debate has tended to remove her work from its historical context, to stress the collective and the cross-cultural.",1
236,"Although this is not in itself to be dismissed as a tactic, it has diminished the complexity of Kahlo's achievement as a specifically Mexican painter, operating within the particularities of her historical moment.",1
237,"More problematic is the way in which such a dislocation has led to the acceptance of her ‘Mexicanness’ as mere decoration of the essentially feminist themes of her work, thereby defusing a substantial part of the art described by Breton as a ‘ribbon round a bomb’.",1
238,"It is the ribbon that runs through the pages of , the glossy surface of the images in direct opposition to a work Kahlo's (1939)(Fig. 9).",1
239,"In this painting, a memorial to a woman's tragic death is transformed into an indictment of the culture which destroyed her.",1
240,Hale's suicide became a poignant metaphor for the oppressive nature of the social values of New York and North America .,1
241,"The story behind Hale's death was one with which Kahlo obviously identified, and within which dress formed an important symbolic function.",1
242,"Before jumping from the window of her apartment, Hale had dressed meticulously in her most flattering dress, the corsage of yellow roses a gift from a male admirer.",1
243,"In Kahlo's painting, the figure falls from the fantasy world she has inhabited to the harsh bloodspattered reality of the street, literally coming down to earth.",1
244,"Hale's eyes stare knowingly at the viewer, a human sacrifice to an alienated and consumerist culture.",1
245,The horizontality of her fallen body is juxtaposed to the vertical thrust of the apartment building.,1
246,She leaps from an architectural monument to a phallocentric world.,1
247,"Although destroyed, she has also escaped.",1
248,"The painting, dedicated to Hale's mother, was commissioned by a mutual friend of Kahlo and Dorothy Hale, the managing editor of , Clare Boothe Luce.",1
249,The painting was agreed to by Luce to recompense for what she saw as her misjudgment of her dead friend.,1
250,"Having lent Hale money to pay her rent she had been angered to discover her spending enormous sums on an haute-couture dress, and refused to turn what, in retrospect, became Hale's farewell party.",1
251,Later it was revealed that the money had come from a different source.,1
252,"A male friend had tried to dissuade Hale from seeking a much needed job and had given her a thousand dollars to buy ‘the most beautiful dress in New York’, telling her that what she needed was to find a rich husband.",1
253,"On one level this work deals with a generalised ‘woman's experience’, yet the metaphorical power of Dorothy Hale's dress derives from Kahlo's use of clothing in her own self-portraits.",1
254,Dress not only covers and decorates the body but instils in the wearer its own characteristic strengths and weaknesses.,1
255,Hale's black velvet dress is cursed because it represents the values of the ‘Gringolandia’ so hated by Kahlo.,1
256,"In those paintings where Kahlo wears European dress she is passive, weak and unable to control her own destiny, but in the Tehuana costume she is strong, powerful, hopeful.",1
257,"Unclothed, her body becomes yet more vulnerable, but as Jean Franco states:",1
258,"The unclothed body is not a ‘self but a socialised body, a body that is opened by instruments, technologized, wounded, its organs displayed to the outside world.",1
259,"The ‘inner’ Frida is controlled by modern society far more than the clothed Frida, who often marks her deviation from the norm by defiantly returning the gaze of the viewer.",1
260,"Kahlo's naked body becomes not just the tortured self of her personal biography but a visual counterpart to the injured and defiled manifestations of Mexico's colonised past: La Llorona ‘the weeping woman’ of popular myth and La Chingada, the raped and abused mother described in Paz's .",1
261,"Descended from an Aztec mother goddess, Llorona is a long-suffering mother figure, symbolic in a wider sense of the trauma of the  Spanish invasion.",1
262,"Driven mad with grief by the loss of her child, she is thought to wander the streets weeping and crying out a ghostly memory of the pre-Conquest past.",1
263,"At its most simple, La Chingada, as the mother of Mestizo culture is ‘the Mother forcibly opened, violated or deceived’.",1
264,The female soil possessed and misused by the masculine force of the Spanish invaders.,1
265,The Indian Mexico raped and abused by the conquistador yet bearing his bastard child.,1
266,"The rhetoric of the Tehuana opposes the nihilism of traditional feminisations of colonial trauma, and asserts the potential of a dignified cultural resistance.",1
267,.,1
268,"Frida Kahlo:, 1939, 58.1x47.5 cm.",1
269,"Phoenix Art Museum, Arizona.",1
270,"A major, though often ignored, work by Kahlo demonstrates the cultural politics underlying her art.",1
271,"(1939)(Fig. 10) is one of the artist’ s most formally adventurous works, mixing photographic collage with paint to produce a critique of North American culture.",1
272,"Kahlo does not appear in the work, her Tehuana costume hangs empty in the centre of the composition, suspended between a toilet bowl and a golfing trophy.",1
273,On one level is a coda to (1932)(Fig. 11) of the previous year.,1
274,"This small painting on metal, in the style of a Catholic votive image, shows the artist poised between the technological inhumanity of a capitalist North America and the archaic fertility of Mexico.",1
275,Interwoven with these images are subtler references to the metaphorical borderlines which separate Latin American culture from that of Europe and North America.,1
276,"This is done by a series of juxtapositions; the past versus the present; female nature versus masculine technology; growth versus exploitation; and in its very material presence, the traditions of fine art versus the popular.",1
277,"At the same time the ambivalence of her own, and modern Mexico's position is manifested in the figure of the artist.",1
278,The paper flag of her homeland is contrasted to the modernity of the cigarette held in her other hand.,1
279,"The red and green of the Aztec necklace links it compositionally with the indigenous plants to the ‘south’ of the painting, the pink colonial-style dress tonally blending with the skyscrapers to the ‘north’.",1
280,"…again suggests a conflict, but the ambivalence is gone.",1
281,"Nature has been banished, technology and its concomitant values reign over a harshly masculine world.",1
282,"Three elements refer to the female presence, all of them dealing with an essential lack.",1
283,"The empty dress, a peeling poster of Mae West and in the far distance the Statue of Liberty.",1
284,.,1
285,"Frida Kahlo:, 1933, 46x50 cm, estate of dr.",1
286,Leo Eloesser.,1
287,"Although occasionally humorous, the work presents a bleak view of urban alienation.",1
288,"The Church, Wall Street, and Industry are joined by a network of telephone lines, forming a remorsely inhuman environment.",1
289,"Beneath this man-made mechanism of oppression are the people, literally distanced from their surroundings by Kahlo's use of photo-collage.",1
290,"In the forefront of this scene flutters the dress, incongruously vibrant despite its suggestion of loss.",1
291,"Dislocated from its political context, it hangs like a above the teeming streets of the city; decorative yet potentially explosive.",1
292,"There is no place ‘there’ for the values the Tehuana dress represents, its folds are given meaning by Kahlo's search for a cultural identity.",1
