Timestamp,The application is easy to use and understand without having to read the instructions exhaustively.,A satisfying on-line system exists to help you overcome difficulties.,The objective of the app and its results are clear.,The content is validated and contains no orthographic errors.,There are no pervasive or negative messages and no racial or religion discrimination.,The content is related with situations and problems of your interest.,"Examples, simulations and graphs are part of the system.",The educational software is easily integrated with other educational environments.,"It allows for configuration (level, language etc.)",An evaluation system is included during the development process.,It uses new learning techniques and improved learning. ,Keeps the user curious and interested in the content without provoking anxiety.,Different activity types are provided as for the knowledge acquisition that enable different forms of using the system.,Guided activities are provided as help for the user.,The app encourages the user to make choices to personalise their learning experience.,"It's easy to memorise, learn and experiment with the learning material.",There is no excess of information.,"There is a rigorous scenario design that includes title, menus, and multimedia.",The program structure is good and allows easy access to content and activities.,"The speed of communication between the program and the user (presentation of contents, reading of data etc.) is adequate.",The program execution is efficient and with no operational errors.,"The navigation system is transparent, allowing the user to control actions.",The system has been developed with originality.,What did you like the most about our app?,What do you think we should improve?,Any suggestion to improve the chatbot?
2020/12/27 6:24:01 pm CET,5,4,5,5,5,2,3,5,3,5,4,5,3,5,5,5,5,2,3,5,5,3,5,"It's integration with Telegram allows for easy access, so users can choose how much time they want to dedicate to learning. ","You should make sure that a definition is available for every word that appears in the included texts. The definition lookup for words next to a single quote (e.g. 'This) seems to be failing. I was interested in the Fiction and Conversation categories, but they were empty. You should either add at least one text to each category or hide the empty ones. ","It would be great to have a main menu you can return to at any time, with the options to change the current text, category, and so on. "
2020/12/27 6:32:36 pm CET,5,5,5,5,5,3,1,3,3,3,4,2,1,5,5,3,5,1,4,5,5,5,5,,"The text was too technical, it does not seem to match the initial test. There should be a way to change the text I am reading.",
2020/12/28 1:07:09 am CET,4,3,4,5,5,3,4,3,2,4,3,4,3,4,5,4,4,2,4,3,4,3,4,It's fun and easy to use :),"The first word I searched for did not have a definition, however I think it's the most useful part. I think it would be best either to have online search included for words with no definition or at least to write that this specific word does not have a definition in your system.",Possibility to retake the test might be great.
2020/12/28 11:31:35 am CET,3,1,5,3,5,5,4,2,3,5,3,3,2,5,5,3,3,5,5,5,4,5,5,,,
2020/12/28 12:42:25 pm CET,5,5,5,4,5,3,4,1,5,3,5,5,5,5,5,4,5,5,5,4,4,5,5,"It is a telegram bot, and as I use the Telegram app more often than others, it is useful for me",,
2020/12/28 12:58:01 pm CET,2,2,5,5,5,3,3,3,3,5,2,1,3,4,2,3,3,3,2,3,2,2,4,"automated system, audio reading","When I finished my test I had 2 choices (continue, explanation). I could not choose the ''continue button'', but only the ''explanation''. ",You can also add sign language
2020/12/28 1:18:31 pm CET,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,,,
2020/12/28 1:36:36 pm CET,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,The efficiency ,Nothing much ,Not really 
2020/12/28 1:42:40 pm CET,5,5,4,4,5,4,5,5,4,4,5,5,5,4,4,4,5,4,5,4,4,5,5,,,
2020/12/28 2:03:45 pm CET,5,5,5,5,5,5,5,4,5,3,4,5,3,5,5,5,3,4,5,5,5,5,4,Allows to learn new words without having to open a dictionary,Precise the good definition of the word corresponding to the context. Give an audio version of all text ,
2020/12/28 2:16:13 pm CET,4,4,5,5,5,5,5,4,4,5,4,5,3,4,5,4,2,5,5,5,5,5,4,"Easy to use, the vocabulary test is kinda addictive...","I wanted a fiction and there was none for my level so more text in the corpus ? On another note, I picked an academic text and it included lots of one line that were just references... so not that interesting for vocabulary learning (so maybe it could be nice to remove those and put a way to access to the whole text and it's references at some point if someone is still really interested in those...)",Nothing I can think of
2020/12/28 3:23:12 pm CET,5,5,4,2,5,4,5,5,4,5,5,4,4,3,4,5,5,4,5,4,4,4,5,It allows us to examine the vocabulary level and also helps us to improve the English level by exercising more and more when we are using bot,It doesn't give definition for many words. ,
2020/12/28 3:23:29 pm CET,4,2,5,5,5,1,5,4,4,5,4,3,1,3,2,5,1,5,2,3,4,3,5,The concept of learn more through a messaging format ,Length of articles for vocabulary improvement,Improve small lags on the bot's answers
2020/12/28 3:41:51 pm CET,5,4,5,5,5,5,5,4,5,4,5,5,3,4,5,4,4,5,5,5,4,5,5,The fact that I can select my favorite type of text and I can ask about each word,Some words can not be found apparently,More graphics
2020/12/28 3:44:23 pm CET,5,5,5,5,5,4,3,4,5,4,5,4,5,4,3,4,5,5,4,4,3,5,5,Learning words becomes fun with this bot,Some of the definitions didn't appear ,"Adding more parts besides the fiction, news and etc to engage more"
2020/12/28 3:51:57 pm CET,5,4,5,5,5,5,5,5,4,5,5,4,5,5,5,5,4,3,5,5,5,5,4,It was easy to use,,You can add short video to the bot
2020/12/28 4:08:15 pm CET,5,4,2,4,5,4,5,3,4,5,3,5,2,3,4,3,4,4,3,5,2,4,5,"1) I liked the idea that the Chabot is asking me to identify existing English words. I believe it is a great way to get valid answers, to measure my knowledge and It seemed like a game so I didn't feel like cheating by googling the words! 
2) It is really interesting that the chatbot provides a feedback in the form of score on my vocabulary test.
3) I liked the idea of providing texts related to my preferences. There is great potential if you can add more texts or subcategories. 
4) I liked that definitions and prononciation option are provided.","1) I believe that the feedback form needs to be updated. It almost feels like the questions are the guidelines the students had to follow for the app development. 
It is not easy to understand what you meant with each question. I believe it would be important to evaluate my feelings, thoughts, usage of the app etch. 
2) I believe it would be great if you provided a short description attached to the feedback presenting your team, your project, the approach you had when developing the app. 
3) It is not clear whether there is a third part to this learning game. The bot informs me on my progress in the first set of questions but there is no flow in the second one. 
4) It is not clear as to how the app will help me develop my vocabulary.","1) Many definitions were not provided.
2) I liked the idea of the chatbot reading out loud and spelling the word I wasn't familiar with. However, after listening to the prononciacion of the word the bot would also read all the previous ones I had asked for a definition. I found that would distract me from paying attention to the flow of the conversation.
3) The provided texts were not sufficient. I was interested in academic essays and journals. It felt like you didn't exclude certain words so the bot would give me names of authors, page numbers etch. Which were not helpful for my learning. 
4) After choosing my preferred reading scenario I couldn't change my preference. "
